No,Regional Office,Kode Cabang,Nama Cabang,Jenis Cabang,Alamat,Provinsi,Kota/Kabupaten
175,Malang,555,KC Pare,KC,"Jl. Pahlawan Kusuma Bangsa no 2A",Jawa Timur,Kab. Kediri
176,Malang,73,KC Probolinggo,KC,"Jl. Suroyo No. 30",Jawa Timur,Kota Probolinggo
177,Malang,429,KC Malang Sutoyo,KC,"Jl. Letjen Sutoyo No. 105",Jawa Timur,Kota Malang
178,Malang,177,KC Trenggalek,KC,"Jl. Jend. A. Yani No. 4",Jawa Timur,Kab. Trenggalek
179,Malang,9,KC Blitar,KC,"Jl. Jend. A. Yani No. 2",Jawa Timur,Kota Blitar
180,Malang,57,KC Ngawi,KC,"Jl. A. Yani No. 55",Jawa Timur,Kab. Ngawi
181,Malang,7,KC Banyuwangi,KC,"Jl. Jend. A. Yani No. 12",Jawa Timur,Kab. Banyuwangi
182,Malang,33,KC Kediri,KC,"Jl. K.J.P. Slamet A N0. 35-37",Jawa Timur,Kota Kediri
183,Malang,579,KC Malang Soekarno Hatta,KC,"Jl. DR. Soekarno Hatta 11 - 12",Jawa Timur,Kota Malang
184,Malang,90,KC Situbondo,KC,"Jl. Akhmad Yani No. 123",Jawa Timur,Kab. Situbondo
185,Malang,110,KC Tulungagung,KC,"Jl. P. Diponegoro No. 2-B",Jawa Timur,Kab. Tulungagung
186,Malang,70,KC Ponorogo,KC,"Jl. HOS Cokroaminoto No. 28",Jawa Timur,Kab. Ponorogo
187,Malang,21,KC Jember,KC,"Jl. A. Yani No. 1",Jawa Timur,Kab. Jember
188,Manado,27,KC Gorontalo,KC,"Jl. Nani Wartabone No 22",Gorontalo,Kota Gorontalo
189,Manado,2025,KC MOROWALI,KC,"Jl. Trans Sulawesi",Sulawesi Tengah,Kab. Morowali
190,Manado,54,KC Manado,KC,"Jl. Sarapung No. 4-6",Sulawesi Utara,Kota Manado
191,Manado,167,KC Luwuk,KC,"Jl. Jend. A. Yani No. 179 Luwuk",Sulawesi Tengah,Kab. Banggai
192,Manado,103,KC Ternate,KC,"Jl. Pahlawan Revolusi No. 234, Ternate",Maluku Utara,Kota Ternate
193,Manado,237,KC Tondano,KC,"Jl. Pinaesaan SK No. 17/31, Tondano",Sulawesi Utara,Kab. Minahasa
194,Manado,2003,KC Manado Boulevard,KC,"Ruko Blok IF 1 No.1, 30-31 Kawasan Mega Mas",Sulawesi Utara,Kota Manado
195,Manado,279,KC Limboto,KC,"Jl. Achmad A. Wahab No 269 Limboto",Gorontalo,Kab. Gorontalo
196,Manado,60,KC Palu,KC,"Jl. Dr. Mohamad Hatta No. 12 Kel. Lolu Utara Kec. Palu Timur Kota Palu",Sulawesi Tengah,Kota Palu
197,Medan,53,KC Medan Putri Hijau,KC,"Jl. Putri Hijau No.2.A",Sumatera Utara,Kota Medan
198,Medan,1097,KC Sibuhuan,KC,"Jl. Ki Hajar Dewantara Lingkungan IV",Sumatera Utara,Kab. Padang Lawas
