Nama Cabang,Kode Cabang,Alamat
KCU Kisaran,0297,"Jln. Cokroaminoto No. 28 Kisaran 21215 Sumatera Utara,"
KCU Kudus,0031,"Jln. A Yani 91 Kudus 59317 Jawa Tengah, 0291-432741-432744"
KCU Kupang,0314,"Jln. Tompello 23 A Kupang 85119 Nusa Tenggara Timur,"
KCU Kuta,0146,"Jln. Raya Kuta 121 Kuta 80361 Bali, 0361-754115"
KCU Lhokseumawe,0296,"Jln. Merdeka 13-14 Lhokseumawe 24313 Nanggroe Aceh Darussalam,"
KCU Lubuk Linggau,0057,Jln. Yos Sudarso No. 155 Lubuk Linggau 31625 Sumatera Selatan
KCU Madiun,0177,"Jln. Jend. Sudirman 79-81, Madiun 63132 Jawa Timur ,"
KCU Magelang,0122,"Jln. A. Yani 1 Magelang 56117 Jawa Tengah, 0293-367777"
KCU Makassar,0025,"Jln. Jend. A. Yani 31 Makassar 90174 Sulawesi Selatan,"
KCU Borobudur,8160,"Jln. Borobudur Kompleks Ruko Kav. 3 B-C-D, Malang 65125 Jawa Timur ,"
KCP Kudusan,0062,"Jln. KH Zainul Arifin 78, Malang 65118 Jawa Timur ,"
KCU Malang,0011,"Jln. Jend. Basuki Rachmat 70-74 , Malang 65111 Jawa Timur ,"
KCU Manado,0026,Jln. Sam Ratulangi 17-19
KCU Cakranegara,0056,"Jln. Pejanggik 67 Mataram 83231 Nusa Tenggara Barat,"
KCU Asia,0195,"Jln. Asia No. 170 Medan 20214 Sumatera Utara, 061-7365800"
KCU Bukit Barisan,0383,"Jln. Bukit Barisan 3 Medan 20111 Sumatera Utara, 061-4515800,"
KCU Medan,0022,"Jln. Diponegoro 15 Medan 20112 Sumatera Utara, 061-4155800,"
KCP Iskandar Muda,0349,"Jln. Iskandar Muda 123 Medan 20153 Sumatera Utara,"
KCP Katamso Medan,8000,"Jln. Brigjen Katamso 56 B-C Medan 20151 Sumatera Utara,"
KCP Pusat Pasar,7780,"Jln. Pusat Pasar No. 2 A/P 359, Komplek Medan Mall Medan 20212 Sumatera"
KCU Mojokerto,0050,"Jln. H.O.S. Cokroaminoto 5 Mojokerto 61313 Jawa Timur,"
KCU Padang,0032,"Jln. H. Agus Salim No. 10 A Padang 25121 Sumatera Barat,"
KCP Pemuda,0163,"Jln. Pemuda No. 17 Padang 25117 Sumatera Barat,"
KCU Palangkaraya,8600,"Jln. Dr.Murjani No. 67 Pahandut Palangkaraya 73111 Kalimantan Tengah,"
KCU Palembang,0021,"Jln. Kapten Rivai 22 Palembang 30129 Sumatera Selatan,"
KCP Mesjid Lama,0045,"Jln. Mesjid Lama 27-31 Palembang 30129 Sumatera Selatan,"
KCU Palu,7920,"Jln. Emmy Saelan 17 Palu 94113 Sulawesi Tengah,"
KCU Pangkal Pinang,0041,Jln. Masjid Jamik 15 Pangkal Pinang 33132 Bangka Belitung
KCU Parepare,8460,"Jln. Makkasau No. 34 Parepare 91114 Sulawesi Selatan,"
KCP Pandaan,0199,"Jln. RA. Kartini 2, Jogosari - Pandaan,Pasuruan 67156 Jawa Timur,"
KCU Pasuruan,0089,"Jln. Perwira 200 , Pasuruan 67111 Jawa Timur,"
